Grupo;Selección;Dorsal;Posición;Nombre;Equipo;Liga;Nacimiento
C;Eslovenia;;MC;Petar Stojanovi?;Sampdoria;Serie B;07/10/1995
C;Eslovenia;;MC;Benjamin Verbi?;Panathinaikos;Super League Greece;27/11/1993
C;Eslovenia;;MC;Miha Zajc;Fenerbahçe;Süper Lig;01/07/1994
C;Eslovenia;;MC;Adrian Zeljkovi?;Spartak Trnava;Niké Liga;19/08/2002
C;Eslovenia;;MC;Nino Žugelj;Bodø/Glimt;Eliteserien;25/07/1992
C;Eslovenia;;DL;Žan Celar;FC Lugano;Swiss Super League;14/03/1999
C;Eslovenia;;DL;Josip Ili?i?;NK Maribor;PrvaLiga Telemach;29/01/1988
C;Eslovenia;;DL;Jan Mlakar;Pisa;Serie B;23/10/1998
C;Eslovenia;;DL;Benjamin Šeško;RB Leipzig;Bundesliga;31/05/2003
C;Eslovenia;;DL;Andraž Šporar;Panathinaikos;Super League Greece;27/02/1994
C;Eslovenia;;DL;Zan Vipotnik;Girondins Bordeaux;Ligue 2;18/03/2002
C;Eslovenia;;DL;Luka Zahovi?;Pogon Szczecin;Ekstraklasa;15/11/1995
D;Francia;23;PT;Alphonse Areola;West Ham United;Premier League;27/02/1993
D;Francia;16;PT;Mike Maignan;AC Milan;Serie A;03/07/1995
D;Francia;1;PT;Brice Samba;Lens;Ligue 1;25/04/1994
D;Francia;21;DF;Jonathan Clauss;Olympique Marseille;Ligue 1;25/09/1992
D;Francia;22;DF;Théo Hernandez;AC Milan;Serie A;06/10/1997
D;Francia;24;DF;Ibrahima Konaté;Liverpool;Premier League;25/05/1999
D;Francia;5;DF;Jules Koundé;Barcelona;La Liga;12/11/1998
D;Francia;3;DF;Ferland Mendy;Real Madrid;La Liga;08/06/1995
D;Francia;2;DF;Benjamin Pavard;Inter Milan;Serie A;28/03/1996
D;Francia;17;DF;William Saliba;Arsenal;Premier League;24/03/2001
D;Francia;4;DF;Dayot Upamecano;Bayern Munich;Bundesliga;27/10/1998
