Grupo;Selección;Dorsal;Posición;Nombre;Equipo;Liga;Nacimiento
C;Serbia;11;DL;Filip Kosti?;Juventus;Serie A;01/11/1992
C;Serbia;9;DL;Aleksandar Mitrovi?;Al Hilal;Saudi Pro League;16/09/1994
C;Serbia;7;DL;Dušan Vlahovi?;Juventus;Serie A;28/01/2000
C;Serbia;18;DL;Petar Ratkov;Red Bull Salzburg;Austrian Bundesliga;18/08/2003
C;Serbia;10;DL;Dušan Tadi?;Fenerbahçe;Süper Lig;20/11/1988
C;Serbia;14;DL;Andrija Živkovi?;PAOK;Super League Greece;11/07/1996
C;Serbia;-;DT;Dragan Stojkovi?;Serbia;-;03/03/1965
C;Dinamarca;16;PT;Mads Hermansen;Leicester City;Championship;11/07/2000
C;Dinamarca;22;PT;Frederik Rønnow;Union Berlin;Bundesliga;04/08/1992
C;Dinamarca;1;PT;Kasper Schmeichel;Anderlecht;Belgian Pro League;05/11/1986
C;Dinamarca;2;DF;Joachim Andersen;Crystal Palace;Premier League;31/05/1996
C;Dinamarca;18;DF;Alexander Bah;Benfica;Primeira Liga;09/12/1997
C;Dinamarca;6;DF;Andreas Christensen;Barcelona;La Liga;10/04/1996
C;Dinamarca;13;DF;Mathias Jørgensen;FC København;Superligaen;23/04/1990
C;Dinamarca;4;DF;Simon Kjær;AC Milan;Serie A;26/03/1989
C;Dinamarca;5;DF;Joakim Mæhle;Wolfsburg;Bundesliga;20/05/1997
C;Dinamarca;17;DF;Victor Kristiansen;Bologna;Serie A;16/12/2002
C;Dinamarca;25;DF;Rasmus Kristensen;AS Roma;Serie A;11/07/1997
C;Dinamarca;3;DF;Jannik Vestergaard;Leicester City;Championship;03/08/1992
C;Dinamarca;8;MC;Thomas Delaney;Anderlecht;Belgian Pro League;03/09/1991
C;Dinamarca;24;MC;Andreas Dreyer;Anderlecht;Belgian Pro League;02/05/1998
C;Dinamarca;10;MC;Christian Eriksen;Manchester United;Premier League;14/02/1992
C;Dinamarca;21;MC;Morten Hjulmand;Sporting CP;Primeira Liga;25/06/1999
C;Dinamarca;23;MC;Pierre-Emile Højbjerg;Tottenham Hotspur;Premier League;05/08/1995
C;Dinamarca;7;MC;Mathias Jensen;Brentford;Premier League;01/01/1996
C;Dinamarca;26;MC;Jacob Bruun Larsen;Burnley;Premier League;19/09/1998
C;Dinamarca;15;MC;Christian Nørgaard;Brentford;Premier League;10/03/1994
C;Dinamarca;14;DL;Mikkel Damsgaard;Brentford;Premier League;03/07/2000
C;Dinamarca;12;DL;Kasper Dolberg;Anderlecht;Belgian Pro League;06/10/1997
C;Dinamarca;9;DL;Rasmus Højlund;Manchester United;Premier League;04/02/2003
C;Dinamarca;11;DL;Andreas Skov Olsen;Club Brugge;Belgian Pro League;29/12/1999
C;Dinamarca;19;DL;Jonas Wind;VfL Wolfsburg;Bundesliga;07/02/1999
C;Dinamarca;20;DL;Yussuf Poulsen;RB Leipzig;Bundesliga;15/06/1994
C;Dinamarca;-;DT;Kasper Hjulmand;Dinamarca;-;09/04/1972
C;Eslovenia;12;PT;Vid Belec;APOEL;Cypriot First Division;06/06/1990
C;Eslovenia;1;PT;Jan Oblak;Atlético Madrid;La Liga;07/01/1993
C;Eslovenia;16;PT;Igor Veki?;Vejle BK;Superligaen;06/05/1998
C;Eslovenia;3;DF;Jure Balkovec;Alanyaspor;Süper Lig;09/09/1994
C;Eslovenia;6;DF;Jaka Bijol;Udinese;Serie A;05/02/1999
C;Eslovenia;4;DF;Miha Blaži?;Lech Poznan;Ekstraklasa;08/05/1993
C;Eslovenia;23;DF;David Brekalo;Orlando City;MLS;03/12/1998
C;Eslovenia;21;DF;Vanja Drkuši?;Sochi;Prem'yer-Liga;30/10/1999
C;Eslovenia;13;DF;Erik Janža;Górnik Zabrze;Ekstraklasa;21/06/1993
C;Eslovenia;2;DF;Žan Karni?nik;NK Celje;PrvaLiga Telemach;18/09/1994
C;Eslovenia;5;DF;Jon Gorenc Stankovi?;SK Sturm Graz;Austrian Bundesliga;14/01/1996
C;Eslovenia;20;DF;Petar Stojanovi?;Sampdoria;Serie B;07/10/1995
C;Eslovenia;10;MC;Timi Elšnik;Olimpija Ljubljana;PrvaLiga Telemach;29/04/1998
C;Eslovenia;22;MC;Adam Gnezda ?erin;Panathinaikos;Super League Greece;16/07/1999
C;Eslovenia;15;MC;Tomi Horvat;SK Sturm Graz;Austrian Bundesliga;24/03/1999
C;Eslovenia;26;MC;Josip Ili?i?;NK Maribor;PrvaLiga Telemach;29/01/1988
C;Eslovenia;14;MC;Jasmin Kurti?;Südtirol;Serie B;10/01/1989
C;Eslovenia;8;MC;Sandi Lovri?;Udinese;Serie A;28/03/1998
C;Eslovenia;7;MC;Benjamin Verbi?;Panathinaikos;Super League Greece;27/11/1993
C;Eslovenia;25;MC;Adrian Zeljkovi?;Spartak Trnava;Niké Liga;19/08/2002
C;Eslovenia;24;MC;Nino Žugelj;Bodø/Glimt;Eliteserien;25/07/1992
C;Eslovenia;19;DL;Žan Celar;FC Lugano;Swiss Super League;14/03/1999
C;Eslovenia;17;DL;Jan Mlakar;Pisa;Serie B;23/10/1998
C;Eslovenia;11;DL;Benjamin Šeško;RB Leipzig;Bundesliga;31/05/2003
C;Eslovenia;9;DL;Andraž Šporar;Panathinaikos;Super League Greece;27/02/1994
C;Eslovenia;18;DL;Zan Vipotnik;Girondins Bordeaux;Ligue 2;18/03/2002
C;Eslovenia;-;DT;Matjaž Kek;Eslovenia;-;09/09/1961
D;Francia;23;PT;Alphonse Areola;West Ham United;Premier League;27/02/1993
D;Francia;16;PT;Mike Maignan;AC Milan;Serie A;03/07/1995
D;Francia;1;PT;Brice Samba;Lens;Ligue 1;25/04/1994
D;Francia;21;DF;Jonathan Clauss;Olympique Marseille;Ligue 1;25/09/1992
D;Francia;22;DF;Théo Hernandez;AC Milan;Serie A;06/10/1997
D;Francia;24;DF;Ibrahima Konaté;Liverpool;Premier League;25/05/1999
